the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
,1980413,3414479,,,2016-04-27 08:52:00+00,,,,,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","SMALL COM VEH(4 TIRES),BICYCLE"
,2018478,3595449,AVENUE X,,2017-01-09 16:42:00+00,,,Brooklyn,,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified",BICYCLE
,1993492,3495093,FULTON STREET,,2016-08-07 11:08:00+00,,,Brooklyn,,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","PASSENGER VEHICLE,BICYCLE"
0101000020E6100000070C923EAD7C52C01A51DA1B7C5F4440,2302816,3911255,21 STREET,,2018-05-29 14:53:00+00,40.745975,-73.948074,Queens,,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified,Unspecified","PASSENGER VEHICLE,BICYCLE"
0101000020E610000067EE21E17B7F52C08D96033DD45A4440,2311459,3923395,MANHATTAN BRIDGE,,2018-06-17 13:05:00+00,40.709602,-73.991936,Manhattan,,1,0,1,0,0,0,0,0,1,Lost Consciousness,Bike
,2624070,4158019,AVENUE OF AMERICAS,,2019-06-24 09:24:00+00,,,Manhattan,10010,1,0,1,0,0,0,0,0,1,"Unsafe Lane Changing,Unspecified","Box Truck,Bike"
0101000020E61000008D7A8846777452C04E0AF31E674E4440,2690549,4227325,CROSS BAY BOULEVARD,,2019-10-13 13:27:00+00,40.612522,-73.81978,Queens,11693,1,0,1,0,0,0,0,0,1,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified","Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000FF76267DBF7852C0F3BEE588FE534440,1843728,3507625,VERMONT STREET,WORTMAN AVENUE,2016-05-26 17:05:00+00,40.65620528,-73.88668755,Brooklyn,11207,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","BICYCLE,VAN"
0101000020E6100000E3BB3901727B52C0FE9EB3603D594440,1849119,3457179,EVERGREEN AVENUE,HART STREET,2016-06-07 06:46:00+00,40.6971856,-73.9288333,Brooklyn,11221,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified",BICYCLE
0101000020E610000004B1DD6F297C52C027DE60D3DD544440,1883533,3503160,LEFFERTS AVENUE,ALBANY AVENUE,2016-08-18 23:08:00+00,40.66301958,-73.94002911,Brooklyn,11203,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified",BICYCLE
0101000020E610000098C0ADBB797E52C0EC8F8BC5CA564440,1817496,3419927,6 AVENUE,STERLING PLACE,2016-04-20 07:59:00+00,40.6780631,-73.97618,Brooklyn,11217,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified",BICYCLE
0101000020E6100000AF303322877D52C02FEC7AB3174E4440,1835002,3440035,AVENUE P,EAST 12 STREET,2016-05-09 21:53:00+00,40.6100983,-73.9613729,Brooklyn,11229,1,0,1,2,0,0,0,2,1,"Unspecified,Unspecified,Unspecified,Unspecified,Unspecified","PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE"
0101000020E6100000FA0AD28C457D52C0DA38622D3E5D4440,2097624,3716167,FRANKLIN STREET,,2017-07-22 00:26:00+00,40.72846,-73.95737,Brooklyn,11222,1,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction,Unspecified",BICYCLE
0101000020E6100000884677103B7D52C0D89E5912A05A4440,2476404,4091103,BROADWAY,,2019-02-28 23:36:00+00,40.70801,-73.95673,Brooklyn,11211,1,0,1,0,0,0,0,0,1,"Unspecified,Unspecified","Tanker,Bike"
0101000020E610000094C151F2EA7652C0616C21C8415D4440,2494949,4108883,QUEENS BOULEVARD,,2019-04-04 16:35:00+00,40.72857,-73.85809,Queens,,1,0,1,0,0,0,0,0,1,Illnes,Bike
